sequence	VoyageID	Lat	LatType	Lon	LonType	Day	Month	Year	SpeciesName	Number_Whales	Vessel1	Vessel2	Ocean	Basin	DegLat	MinLat	NS	DegLong	MinLong	EW	PosType	Wording	Remarks
4510	AV05725	-34.333	L	0.000		23	12	1837	Right	1			Atlantic	South Atlantic	34	20	S				L:NA	Ground can be found by consulting abstracts of the voyages of the Anna Maria and the Rodanas, which were on the same ground at the same time. (December 1837)	
1110	AV05725	-35.867	L	0.000		5	1	1838	Right	1			Atlantic	South Atlantic	35	52	S				L:NA	Ground can be found by consulting abstracts of the voyages of the Anna Maria and the Rodanas, which were on the same ground at the same time. (December 1837)	
15997	AV05726	38.720	I	-27.210	I	28	6	1838	Sperm	1			Atlantic	North Atlantic							I:I	Lerceina bearing NW, 20 miles	
1656	AV05726	-35.300	L	-22.867	L	22	11	1838	Right	1			Atlantic	South Atlantic	35	18	S	22	52	W	L:L		
4937	AV05726	-42.500	L	-43.000	L	1	2	1839	Right	1			Atlantic	South Atlantic	42	30	S	43	0	W	L:L		
1658	AV05726	-35.167	L	-26.800	L	8	12	1839	Right	1			Atlantic	South Atlantic	35	10	S	26	48	W	L:L		
3388	AV05726	-35.100	L	-26.817	L	11	12	1839	Right	1			Atlantic	South Atlantic	35	6	S	26	49	W	L:L		
9594	AV05742	-31.417	L	-81.017	L	15	9	1840	Sperm	1			Pacific	South Pacific	31	25	S	81	1	W	L:L		prob sperm
12139	AV05742	-2.383	L	-92.367	L	24	10	1840	Sperm	1			Pacific	South Pacific	2	23	S	92	22	W	L:L		
11981	AV05742	5.883	L	-81.717	L	16	11	1840	Sperm	1			Pacific	North Pacific	5	53	N	81	43	W	L:L		
11775	AV05742	0.383	L	-102.000	L	26	1	1841	Sperm	1			Pacific	North Pacific	0	23	N	102	0	W	L:L		
11047	AV05742	0.000	L	-119.900	L	9	4	1841	Sperm	2			Pacific	North Pacific	0	0	N	119	54	W	L:L		
11413	AV05742	-0.083	L	-123.183	L	15	4	1841	Sperm	2			Pacific	South Pacific	0	5	S	123	11	W	L:L		
9590	AV05742	0.283	L	-125.500	L	6	5	1841	Sperm	1			Pacific	North Pacific	0	17	N	125	30	W	L:L		
11821	AV05742	-0.917	L	-107.500	L	29	8	1841	Sperm	2			Pacific	South Pacific	0	55	S	107	30	W	L:L		
9957	AV05742	-1.750	L	-107.983	L	31	8	1841	Sperm	1			Pacific	South Pacific	1	45	S	107	59	W	L:L		found dead
8499	AV05742	-0.033	L	-118.317	L	21	9	1841	Sperm	1			Pacific	South Pacific	0	2	S	118	19	W	L:L		
5949	AV05742	-0.667	L	-119.000	L	23	9	1841	Sperm	2			Pacific	South Pacific	0	40	S	119	0	W	L:L		
11417	AV05742	-0.500	L	-120.000	L	25	9	1841	Sperm	1			Pacific	South Pacific	0	30	S	120	0	W	L:L		
12107	AV05742	0.267	L	-123.000	L	5	10	1841	Sperm	1			Pacific	North Pacific	0	16	N	123	0	W	L:L		
11419	AV05742	-0.850	L	-128.267	L	20	10	1841	Sperm	1			Pacific	South Pacific	0	51	S	128	16	W	L:L		
8869	AV05742	-0.900	L	-128.700	L	28	10	1841	Sperm	1			Pacific	South Pacific	0	54	S	128	42	W	L:L		
5590	AV05742	-0.883	L	-128.883	L	31	10	1841	Sperm	1			Pacific	South Pacific	0	53	S	128	53	W	L:L		
9235	AV05742	-1.100	L	-128.850	L	1	11	1841	Sperm	1			Pacific	South Pacific	1	6	S	128	51	W	L:L		
12274	AV05742	-0.633	L	-125.450	L	19	11	1841	Sperm	1			Pacific	South Pacific	0	38	S	125	27	W	L:L		
5841	AV05742	-0.850	L	-125.833	L	25	11	1841	Sperm	1			Pacific	South Pacific	0	51	S	125	50	W	L:L		
12204	AV05742	-0.767	L	-125.817	L	28	11	1841	Sperm	1			Pacific	South Pacific	0	46	S	125	49	W	L:L		
11433	AV05742	-0.650	L	-126.167	L	9	12	1841	Sperm	1			Pacific	South Pacific	0	39	S	126	10	W	L:L		
9045	AV05742	-0.067	L	-126.667	L	12	12	1841	Sperm	2			Pacific	South Pacific	0	4	S	126	40	W	L:L		
12125	AV05742	-0.533	L	-127.317	L	15	12	1841	Sperm	2			Pacific	South Pacific	0	32	S	127	19	W	L:L		
11316	AV05742	-0.550	L	-128.000	L	17	12	1841	Sperm	1			Pacific	South Pacific	0	33	S	128	0	W	L:L		
10951	AV05742	-1.833	L	-111.100	L	9	4	1842	Sperm	2			Pacific	South Pacific	1	50	S	111	6	W	L:L		
9858	AV05742	-1.267	L	-110.900	L	12	4	1842	Sperm	3			Pacific	South Pacific	1	16	S	110	54	W	L:L		
8924	AV05742	-1.550	L	-111.450	L	26	4	1842	Sperm	2			Pacific	South Pacific	1	33	S	111	27	W	L:L		
11760	AV05742	-1.150	L	-111.333	L	28	4	1842	Sperm	2			Pacific	South Pacific	1	9	S	111	20	W	L:L		
8519	AV05742	-0.783	L	-122.750	L	5	6	1842	Sperm	1			Pacific	South Pacific	0	47	S	122	45	W	L:L		
8480	AV05742	0.050	L	-123.750	L	9	6	1842	Sperm	1			Pacific	North Pacific	0	3	N	123	45	W	L:L		
11236	AV05742	-0.833	L	-124.467	L	10	6	1842	Sperm	1			Pacific	South Pacific	0	50	S	124	28	W	L:L		
11884	AV05742	-0.900	L	-124.333	L	11	6	1842	Sperm	1			Pacific	South Pacific	0	54	S	124	20	W	L:L		
5931	AV05742	-0.117	L	-122.767	L	19	6	1842	Sperm	1			Pacific	South Pacific	0	7	S	122	46	W	L:L		prob sperm
9010	AV05742	-11.650	L	-133.250	L	31	7	1842	Sperm	1			Pacific	South Pacific	11	39	S	133	15	W	L:L		
12008	AV05742	-20.100	L	-92.450	L	19	9	1842	Sperm	1			Pacific	South Pacific	20	6	S	92	27	W	L:L		
10230	AV05742	0.583	L	-123.600	L	27	12	1842	Sperm	1			Pacific	North Pacific	0	35	N	123	36	W	L:L		
9261	AV05742	0.583	L	-123.533	L	30	12	1842	Sperm	1			Pacific	North Pacific	0	35	N	123	32	W	L:L		
11570	AV05742	-3.200	L	-135.550	L	6	3	1843	Sperm	2			Pacific	South Pacific	3	12	S	135	33	W	L:L		
12143	AV05742	-3.133	L	-138.067	L	15	3	1843	Sperm	2			Pacific	South Pacific	3	8	S	138	4	W	L:L		
11714	AV05742	-3.333	L	-139.717	L	21	3	1843	Sperm	1			Pacific	South Pacific	3	20	S	139	43	W	L:L		
9506	AV05742	-19.750	L	-151.833	L	5	5	1843	Sperm	3			Pacific	South Pacific	19	45	S	151	50	W	L:L		
11816	AV05742	-1.000	L	-120.333	L	19	7	1843	Sperm	1			Pacific	South Pacific	1	0	S	120	20	W	L:L		
11310	AV05742	-2.233	L	-126.350	L	23	8	1843	Sperm	2			Pacific	South Pacific	2	14	S	126	21	W	L:L		
11452	AV05742	-1.750	L	-127.000	L	25	8	1843	Sperm	1			Pacific	South Pacific	1	45	S	127	0	W	L:L		
11937	AV05742	-2.950	L	-133.633	L	15	9	1843	Sperm	2			Pacific	South Pacific	2	57	S	133	38	W	L:L		
9628	AV05742	-2.917	L	-135.250	L	25	9	1843	Sperm	1			Pacific	South Pacific	2	55	S	135	15	W	L:L		
6349	AV05742	-12.400	L	-136.100	L	9	10	1843	Sperm	1			Pacific	South Pacific	12	24	S	136	6	W	L:L		
13219	AV05747	0.000	I	0.000	I	26	7	1860	Bowhead	1			Arctic	Arctic							I:I	Cape Serdge	
13220	AV05747	0.000	I	0.000	I	9	8	1860	Bowhead	1			Arctic	Arctic							I:I	Cape Serdge	
13218	AV05747	0.000	I	0.000	I	17	8	1860	Bowhead	1			Arctic	Arctic							I:I	Cape Serdge	
279	AV05747	67.967	L	-171.333	L	29	8	1860	Bowhead	1			Arctic	Arctic	67	58	N	171	20	W	L:L		
9634	AV05749	-12.050	L	47.567	L	22	9	1833	Sperm	2			Indian	Indian	12	3	S	47	34	E	L:L		
12409	AV05749	-9.217	L	50.667	L	29	10	1833	Sperm	3			Indian	Indian	9	13	S	50	40	E	L:L		
9584	AV05749	-7.717	L	50.667	L	5	11	1833	Sperm	2			Indian	Indian	7	43	S	50	40	E	L:L		
12030	AV05749	-9.700	L	50.667	L	11	11	1833	Sperm	4			Indian	Indian	9	42	S	50	40	E	L:L		
12423	AV05749	-10.900	L	54.000	L	10	12	1833	Sperm	2			Indian	Indian	10	54	S	54	0	E	L:L		
11098	AV05749	-13.833	L	42.917	L	18	3	1834	Sperm	3			Indian	Indian	13	50	S	42	55	E	L:L		
12456	AV05749	-17.317	L	43.433	L	10	4	1834	Sperm	1			Indian	Indian	17	19	S	43	26	E	L:L		
11465	AV05749	-17.417	L	43.000	L	11	4	1834	Sperm	1			Indian	Indian	17	25	S	43	0	E	L:L		
